state,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,rawMagX,rawMagY,rawMagZ,pressure,temperature,altitude,magX,magY,magZ,w,i,j,k,posX,posY,posZ,velX,velY,velZ,gpsLat,gpsLong,gpsAltMSL,gpsAltAGL,gpsVelocityN,gpsVelocityE,gpsVelocityD,epochTime,satellites,gpsLock,loopcount,timestamp,cx,cy,targetGpsLat,targetGpsLong,desiredServoPos1,actualServoPos1,desiredServoPos2,actualServoPos2,desiredServoPos3,actualServoPos3,desiredServoPos4,actualServoPos4,trajA,trajB,trajC,trajD
0,-0.083008,0.032715,-0.998047,-0.183266,-0.186485,0.880783,23400.87891,22595.21484,35858.15625,871.057617,0,1257.213013,-34708.95703,18856.56836,-58837.21484,-0.120726,0.084242,-0.007534,0.989076,0,0,0,0,0,0,329394784,-1069118528,1395135,13,-16,-3,1369553,1718896757,12,1,437821,12099211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.069336,0.046875,-0.997559,-0.091713,-0.186485,1.04863,22766.11328,22894.28711,34790.03906,871.03125,0,1257.461426,-35427.13281,19185.81641,-60016.46875,-0.120951,0.084194,-0.00759,0.989052,0,0,0,0,0,0,329394784,-1069118528,1395159,-179,102,-6,1369577,1718896758,12,1,437822,12099236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.068359,0.056641,-0.995605,-0.198524,-0.37722,0.484055,23394.77539,22137.45117,35162.35156,871.059082,0,1257.199829,-34718.14844,18323.63867,-59612.17578,-0.121045,0.084192,-0.007665,0.98904,0,0,0,0,0,0,329394784,-1069118528,1395159,-179,102,-6,1369577,1718896758,12,1,437823,12099261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.08252,0.066895,-0.99707,-0.145119,-0.316185,0.186508,23840.33203,22833.25195,35485.83984,871.059082,0,1257.199829,-34219.32813,19122.14844,-59242.78516,-0.121067,0.08419,-0.007734,0.989037,0,0,0,0,0,0,329394784,-1069118528,1395172,-216,104,-6,1369590,1718896758,12,1,437824,12099286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.084961,0.067383,-0.996582,-0.00016,-0.217003,0.011032,23419.18945,22088.62305,36242.67578,871.060791,0,1257.18396,-34684.67578,18282.63867,-58419.34375,-0.121053,0.084165,-0.007771,0.989041,0,0,0,0,0,0,329394784,-1069118528,1395172,-216,104,-6,1369590,1718896758,12,1,437825,12099311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.07666,0.053223,-0.995117,0.205833,-0.194115,-0.439102,24511.71875,22906.49414,34606.93359,871.060791,0,1257.18396,-33472.05078,19191.58594,-60208.94922,-0.120957,0.084122,-0.007741,0.989057,0,0,0,0,0,0,329394784,-1069118528,1395168,-161,14,10,1369586,1718896758,12,1,437826,12099336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.070801,0.037109,-1.000488,0.289757,-0.163597,-0.347549,24609.375,22760.00977,35107.42188,871.014404,0,1257.619873,-33359.38281,19030.69922,-59657.57031,-0.120896,0.084062,-0.007679,0.98907,0,0,0,0,0,0,329394784,-1069118528,1395168,-161,14,10,1369586,1718896758,12,1,437827,12099361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.063477,0.023926,-0.998047,0.129539,-0.163597,-0.019485,24121.09375,22393.79883,33312.98828,871.038574,0,1257.3927,-33915.25,18588.84961,-61647.51953,-0.120913,0.083997,-0.007644,0.989073,0,0,0,0,0,0,329394784,-1069118528,1395175,-132,-46,16,1369593,1718896758,12,1,437828,12099386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.05957,0.022461,-0.999512,-0.045937,-0.331444,0.094955,23608.39844,22314.45313,33813.47656,871.038574,0,1257.3927,-34486.76563,18506.70313,-61098.58203,-0.120954,0.083969,-0.007643,0.989071,0,0,0,0,0,0,329394784,-1069118528,1395175,-132,-46,16,1369593,1718896758,12,1,437829,12099411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.071777,0.037109,-0.999023,-0.091713,-0.468773,0.323837,23950.19531,22772.2168,33459.47266,871.059814,0,1257.191895,-34107.18359,19024.0625,-61481.42969,-0.121031,0.083985,-0.007668,0.98906,0,0,0,0,0,0,329394784,-1069118528,1395193,-88,-77,11,1369612,1718896758,12,1,437830,12099436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
